Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2023-05-01,"Jefferson Park, VA",276,-0.14,-0.4,5,0.25,-0.29
2023-05-01,"Fry's Spring, VA",475,0.18,0.2,15,0.15,-0.32
2023-05-01,"Charlottesville, VA",465,-0.09,0.13,108,0.48,-0.05
2023-05-01,"Fifeville, VA",307,-0.39,-0.16,12,0.71,-0.33
2023-05-01,"Venable, VA",1000,0.06,-0.052,5,0.2,0.667
2023-05-01,"Belmont, VA",475,0.06,0.198,19,0.37,-0.136
2023-06-01,"Venable, VA",1100,0.1,-0.21,6,0.33,1.0
2023-06-01,"Belmont, VA",570,0.2,0.432,26,-0.08,-0.071
2023-06-01,"Fry's Spring, VA",509,0.07,0.23,26,0.73,-0.04
2023-06-01,"Martha Jefferson, VA",488,0.56,0.26,10,-0.41,0.25
2023-06-01,"Fifeville, VA",312,-0.34,-0.12,17,0.89,-0.37
2023-06-01,"Jefferson Park, VA",342,0.24,-0.07,4,-0.2,-0.5
2023-06-01,"Charlottesville, VA",463,-0.0,0.07,133,0.23,-0.13
2023-07-01,"Belmont, VA",565,-0.01,0.487,24,0.04,-0.2
2023-07-01,"Venable, VA",1100,0.0,0.209,8,-0.25,0.6
2023-07-01,"Charlottesville, VA",465,0.0,0.15,66,-0.5,-0.48
2023-07-01,"Fry's Spring, VA",500,-0.02,0.22,29,0.12,0.21
2023-07-01,"Jefferson Park, VA",271,-0.21,-0.21,6,0.5,-0.4
2023-07-01,"Martha Jefferson, VA",417,0.13,-0.01,6,-0.67,0.0
2023-07-01,"Fifeville, VA",368,-0.25,0.04,18,0.8,-0.22
2023-08-01,"Martha Jefferson, VA",633,0.71,0.78,2,-0.88,-0.6
2023-08-01,"Fifeville, VA",370,-0.11,0.07,17,1.83,-0.06
2023-08-01,"Jefferson Park, VA",265,-0.02,-0.19,5,-0.17,-0.5
2023-08-01,"Fry's Spring, VA",475,-0.05,0.12,25,-0.14,-0.14
2023-08-01,"Venable, VA",1100,0.0,-0.013,6,-0.33,0.0
2023-08-01,"Belmont, VA",585,0.04,0.671,25,-0.24,-0.138
2023-08-01,"Charlottesville, VA",465,-0.0,0.09,84,0.27,-0.23
2023-09-01,"Charlottesville, VA",450,-0.03,0.21,40,-0.52,-0.36
2023-09-01,"Martha Jefferson, VA",633,0.6,0.3,2,-0.82,-0.5
2023-09-01,"Fifeville, VA",395,-0.38,0.12,11,4.5,0.38
2023-09-01,"Venable, VA",763,-0.31,0.173,4,-0.5,-0.2
2023-09-01,"Belmont, VA",550,-0.06,1.007,19,-0.16,-0.269
